total_events,total_sessions,active_days,core_events,payment_status,cluster,gender,is_push_on,ban_status,report_count,alarm_count,pending_chat,pending_votes,friend_id_count,block_user_id_count,hide_user_id_count,class,id,osname,school_grade,province
1525,132,22,745.0,False,2,F,0,N,0,1,1,34,46,0,0,2.0,74754,iOS,M2.0,Daejeon
1519,218,24,290.0,False,2,F,1,N,0,0,0,1,72,0,0,1.0,260474,iOS,M3.0,Gyeonggi
1518,95,22,530.0,False,2,F,1,N,0,0,0,2,72,0,1,2.0,59799,iOS,M2.0,Chungbuk
1512,144,24,279.0,True,2,F,1,N,0,0,0,0,21,0,0,4.0,151654,iOS,M3.0,Gyeonggi
1512,121,23,237.0,False,2,F,1,N,0,0,0,142,40,0,0,1.0,19228,iOS,M2.0,Chungbuk
1497,167,24,282.0,False,2,F,1,N,0,0,0,12,24,0,0,3.0,105804,iOS,M3.0,Gyeonggi
1492,117,19,261.0,False,2,F,1,N,0,0,0,101,64,0,12,1.0,285079,iOS,M2.0,Gyeongbuk
1486,189,24,355.0,True,2,M,1,N,0,1,0,0,42,0,0,1.0,55442,iOS,M2.0,Jeonbuk
1437,95,23,334.0,False,2,F,1,N,0,0,0,4,29,0,0,1.0,57459,iOS,M3.0,Chungbuk
1424,178,24,103.0,False,2,F,1,N,0,0,0,5,75,0,0,4.0,102393,Android,M2.0,Incheon
1410,60,16,274.0,False,2,M,1,N,0,1,1,10,18,0,2,1.0,345238,Android,M2.0,Gyeongbuk
1395,260,24,100.0,False,2,M,0,N,0,0,0,1,54,0,0,3.0,42989,iOS,M3.0,Jeonbuk
1394,192,24,345.0,False,2,F,1,N,0,0,0,2,62,0,0,1.0,56150,iOS,M3.0,Gyeonggi
1392,237,24,113.0,False,2,M,1,N,1,0,0,2,98,0,1,2.0,11590,iOS,M2.0,Incheon
1390,104,24,298.0,False,2,F,1,N,0,0,0,0,22,0,3,1.0,15419,iOS,M2.0,Jeonnam
1390,168,24,302.0,False,2,M,0,N,0,0,0,13,56,2,0,6.0,38134,iOS,M3.0,Chungbuk
1388,110,19,418.0,False,2,M,1,N,0,2,0,0,18,0,0,1.0,415562,Android,M2.0,Gyeongnam
1384,79,20,316.0,False,2,F,1,N,0,0,0,0,14,0,0,5.0,166608,iOS,M3.0,Gyeonggi
1380,96,23,218.0,False,2,F,1,N,0,0,0,0,46,0,0,1.0,14208,iOS,M3.0,Chungnam
1376,73,20,340.0,False,2,M,1,N,0,0,0,11,75,0,0,3.0,17136,iOS,M3.0,Gyeonggi
1366,174,24,489.0,False,2,F,1,N,0,0,0,0,126,2,0,1.0,2605,iOS,M2.0,Busan
1352,120,19,648.0,False,2,F,1,N,0,0,0,2,49,0,0,1.0,12892,Android,M3.0,Gyeonggi
1342,79,24,94.0,False,2,F,1,N,0,0,0,0,39,0,1,7.0,9825,iOS,M2.0,Gyeonggi
1341,112,23,233.0,False,2,M,1,N,0,0,0,0,77,0,0,4.0,6340,Android,H1.0,Gyeongbuk
1335,47,17,273.0,False,2,F,1,N,0,5,2,20,44,0,0,8.0,418940,Android,H2.0,Ulsan
1328,121,24,389.0,False,2,F,1,N,0,0,0,0,73,1,0,5.0,7792,Android,M2.0,Jeonbuk
1326,80,24,166.0,False,2,F,1,N,0,0,0,0,71,0,0,1.0,86584,iOS,M2.0,Chungbuk
1322,112,24,149.0,False,2,F,1,N,0,0,0,0,17,0,0,4.0,32359,iOS,M3.0,Gyeonggi
1305,108,23,529.0,False,2,F,1,N,0,2,0,10,50,0,0,1.0,463394,iOS,H1.0,Gyeongbuk
1282,37,9,329.0,False,2,M,0,N,0,0,0,4,43,0,0,1.0,218933,Android,M3.0,Gyeonggi
1278,153,22,164.0,False,2,M,1,N,0,0,0,0,29,0,0,3.0,192895,iOS,M2.0,Gwangju
1267,103,21,178.0,False,2,F,1,N,0,0,0,0,22,0,0,3.0,38967,iOS,M3.0,Gyeonggi
1267,113,21,272.0,False,2,F,0,N,0,1,0,10,61,0,0,1.0,18476,iOS,H2.0,Gyeongbuk
1261,93,19,75.0,False,2,F,1,N,1,0,0,0,127,0,6,1.0,24922,iOS,M2.0,Gyeonggi
1252,148,24,111.0,False,2,F,0,N,0,0,0,0,34,0,0,9.0,27219,iOS,M2.0,Incheon
1237,168,19,42.0,False,2,M,1,N,0,0,0,0,46,0,0,3.0,23116,iOS,H1.0,Seoul
1224,89,22,281.0,False,2,M,1,N,0,0,0,0,24,0,3,2.0,339079,iOS,M3.0,Gyeonggi
1224,34,5,100.0,True,1,M,0,N,0,0,0,0,4,0,0,1.0,95,Android,M3.0,Daegu
1212,86,15,355.0,False,2,M,1,N,0,2,1,2,25,0,0,1.0,411288,Android,M2.0,Gyeongnam
1207,118,21,305.0,False,2,F,1,N,0,0,0,0,28,0,0,1.0,79508,Android,M2.0,Jeonbuk
1206,140,24,270.0,False,2,M,1,N,0,0,1,47,79,0,0,2.0,48064,Android,M3.0,Seoul
1205,119,24,407.0,False,2,F,1,N,0,0,0,1,53,0,0,1.0,291503,iOS,M2.0,Gyeonggi
1200,73,23,91.0,False,2,F,0,N,0,0,0,0,84,0,1,3.0,89426,iOS,M3.0,Gangwon
1188,92,23,175.0,False,2,F,1,N,0,3,0,8,53,0,0,1.0,66730,Android,M3.0,Gyeongbuk
1175,214,24,227.0,False,2,M,1,N,0,0,0,0,40,0,0,2.0,27212,iOS,M2.0,Daejeon
1174,121,24,175.0,False,2,F,1,N,0,0,0,8,49,0,0,1.0,27459,iOS,M2.0,Chungbuk
1168,88,17,267.0,False,2,F,1,N,0,0,0,283,27,0,0,6.0,157033,iOS,M3.0,Gyeonggi
1168,54,13,281.0,False,2,F,1,N,0,1,0,1,25,0,0,2.0,8041,iOS,M2.0,Gyeongbuk
1167,73,19,84.0,False,1,F,1,N,0,1,0,0,39,0,0,1.0,85305,iOS,M2.0,Gyeonggi
1163,125,24,74.0,False,2,F,1,W,0,0,0,0,48,0,0,3.0,15396,iOS,M2.0,Daegu
1160,92,23,48.0,False,1,M,1,N,0,0,0,1,168,0,1,11.0,222998,Android,M2.0,Incheon
1151,123,23,297.0,False,2,F,1,N,0,0,0,4,8,0,0,3.0,104751,iOS,M2.0,Busan
1147,93,23,312.0,False,2,M,1,N,0,0,0,33,46,0,0,3.0,25502,iOS,H1.0,Incheon
1146,70,13,455.0,False,2,F,1,N,0,1,0,1,54,0,0,1.0,456828,iOS,M2.0,Gyeongbuk
1145,143,24,448.0,False,2,F,1,N,0,0,0,140,18,0,1,6.0,17472,iOS,H2.0,Gyeonggi
1140,90,12,294.0,False,2,F,1,N,0,0,0,0,20,0,0,2.0,5037,iOS,H1.0,Daegu
1133,52,19,355.0,False,2,F,1,N,0,0,0,0,87,0,0,1.0,202006,iOS,M3.0,Gyeongbuk
1131,22,13,134.0,True,1,M,1,N,0,0,0,0,25,0,0,2.0,247596,Android,H1.0,Seoul
1126,78,22,69.0,False,1,M,1,N,0,0,0,0,28,0,1,8.0,86716,iOS,H1.0,Incheon
1121,124,23,401.0,False,2,F,1,N,0,1,0,0,53,0,0,5.0,11484,iOS,H1.0,Jeonnam
1121,74,22,184.0,False,2,F,1,N,0,3,0,7,60,0,0,1.0,80335,iOS,M3.0,Gyeongbuk
1114,90,23,427.0,False,2,M,1,N,0,3,1,345,43,0,0,1.0,71264,Android,M2.0,Chungbuk
1114,141,23,449.0,False,2,M,1,N,0,0,1,26,67,1,5,4.0,382290,iOS,M3.0,Seoul
1109,123,23,379.0,False,2,F,1,N,0,0,0,157,63,0,0,7.0,19822,iOS,H1.0,Daejeon
1102,146,24,100.0,False,2,F,1,N,0,0,0,6,43,0,0,1.0,25989,Android,M2.0,Gyeongbuk
1096,104,23,125.0,False,2,F,1,N,0,0,0,0,57,0,0,5.0,503506,iOS,M2.0,Daegu
1088,36,12,580.0,False,2,F,1,N,0,2,0,127,53,0,0,1.0,34708,Android,M2.0,Gyeonggi
1085,97,17,406.0,False,2,M,1,N,0,0,0,0,61,0,0,1.0,129925,Android,M3.0,Gyeongnam
